miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez Gene ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)
MIRT000998	hsa-miR-519c-3p	Homo sapiens	ABCG2	9429	Homo sapiens	Luciferase reporter assay	Functional MTI	19825807
MIRT000998	hsa-miR-519c-3p	Homo sapiens	ABCG2	9429	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR	Functional MTI	21219875
MIRT004346	hsa-let-7a-5p	Homo sapiens	DICER1	23405	Homo sapiens	Luciferase reporter assay//Western blot//Northern blot	Functional MTI	18700235
MIRT004347	hsa-let-7d-5p	Homo sapiens	DICER1	23405	Homo sapiens	Luciferase reporter assay//Western blot//Northern blot	Functional MTI	18700235
MIRT004348	hsa-let-7c-5p	Homo sapiens	DICER1	23405	Homo sapiens	Western blot//Northern blot	Non-Functional MTI	18700235
MIRT004349	hsa-miR-183-5p	Homo sapiens	EZR	7430	Homo sapiens	Luciferase reporter assay	Functional MTI	18840437
MIRT004349	hsa-miR-183-5p	Homo sapiens	EZR	7430	Homo sapiens	Flow//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25337200
MIRT000993	hsa-miR-377-3p	Homo sapiens	SOD2	6648	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	18716028
MIRT000992	hsa-miR-377-3p	Homo sapiens	SOD1	6647	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	18716028
MIRT000992	hsa-miR-377-3p	Homo sapiens	SOD1	6647	Homo sapiens	Luciferase reporter assay//	Non-Functional MTI	21203553
MIRT000991	hsa-miR-377-3p	Homo sapiens	PAK1	5058	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	18716028
MIRT000990	hsa-miR-377-3p	Homo sapiens	PPM1A	5494	Homo sapiens	Luciferase reporter assay//Western blot	Non-Functional MTI	18716028
