Study,Well,Sample,Sample Name,Detector Name,Reporter,Task,Ct,PrimerPair,BCM,ExposureTime,CellLine,Replicate,Row,Col,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
091417,291,091417_DL_10_22hr,M3,sybr,SYBR,Unknown,23.52845,miR-193b,DL_10,22hr,VK2,3,M,3,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,339,091417_MEDIA_0.5hr,O3,sybr,SYBR,Unknown,23.641077,miR-193b,MEDIA,0.5hr,VK2,3,O,3,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,4,091417_MEDIA_1hr,A4,sybr,SYBR,Unknown,23.16049,miR-193b,MEDIA,1hr,VK2,1,A,4,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,52,091417_MEDIA_4hr,C4,sybr,SYBR,Unknown,23.089031,miR-193b,MEDIA,4hr,VK2,1,C,4,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,100,091417_MEDIA_8hr,E4,sybr,SYBR,Unknown,24.663763,miR-193b,MEDIA,8hr,VK2,1,E,4,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,148,091417_MEDIA_16hr,G4,sybr,SYBR,Unknown,23.611315,miR-193b,MEDIA,16hr,VK2,1,G,4,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,196,091417_MEDIA_19hr,I4,sybr,SYBR,Unknown,23.154243,miR-193b,MEDIA,19hr,VK2,1,I,4,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,244,091417_MEDIA_22hr,K4,sybr,SYBR,Unknown,23.212893,miR-193b,MEDIA,22hr,VK2,1,K,4,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
110317,292,110317_DL_10_13hr,M4,sybr,SYBR,Unknown,26.641012,miR-193b,DL_10,13hr,VK2,1,M,4,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
110317,340,110317_MEDIA_13hr,O4,sybr,SYBR,Unknown,21.653776,miR-193b,MEDIA,13hr,VK2,1,O,4,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,5,091417_MEDIA_1hr,A5,sybr,SYBR,Unknown,23.302378,miR-193b,MEDIA,1hr,VK2,2,A,5,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,53,091417_MEDIA_4hr,C5,sybr,SYBR,Unknown,23.19646,miR-193b,MEDIA,4hr,VK2,2,C,5,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,101,091417_MEDIA_8hr,E5,sybr,SYBR,Unknown,24.85264,miR-193b,MEDIA,8hr,VK2,2,E,5,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,149,091417_MEDIA_16hr,G5,sybr,SYBR,Unknown,23.732914,miR-193b,MEDIA,16hr,VK2,2,G,5,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,197,091417_MEDIA_19hr,I5,sybr,SYBR,Unknown,22.99882,miR-193b,MEDIA,19hr,VK2,2,I,5,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,245,091417_MEDIA_22hr,K5,sybr,SYBR,Unknown,23.219475,miR-193b,MEDIA,22hr,VK2,2,K,5,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
110317,293,110317_DL_10_13hr,M5,sybr,SYBR,Unknown,26.428263,miR-193b,DL_10,13hr,VK2,2,M,5,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
110317,341,110317_MEDIA_13hr,O5,sybr,SYBR,Unknown,21.579311,miR-193b,MEDIA,13hr,VK2,2,O,5,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,6,091417_MEDIA_1hr,A6,sybr,SYBR,Unknown,23.501083,miR-193b,MEDIA,1hr,VK2,3,A,6,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,54,091417_MEDIA_4hr,C6,sybr,SYBR,Unknown,23.116323,miR-193b,MEDIA,4hr,VK2,3,C,6,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,102,091417_MEDIA_8hr,E6,sybr,SYBR,Unknown,24.692915,miR-193b,MEDIA,8hr,VK2,3,E,6,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,150,091417_MEDIA_16hr,G6,sybr,SYBR,Unknown,23.632975,miR-193b,MEDIA,16hr,VK2,3,G,6,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,198,091417_MEDIA_19hr,I6,sybr,SYBR,Unknown,23.207298,miR-193b,MEDIA,19hr,VK2,3,I,6,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,246,091417_MEDIA_22hr,K6,sybr,SYBR,Unknown,23.364523,miR-193b,MEDIA,22hr,VK2,3,K,6,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
110317,294,110317_DL_10_13hr,M6,sybr,SYBR,Unknown,26.37432,miR-193b,DL_10,13hr,VK2,3,M,6,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
110317,342,110317_MEDIA_13hr,O6,sybr,SYBR,Unknown,21.662796,miR-193b,MEDIA,13hr,VK2,3,O,6,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
052917,7,052917_DL_10_4hr,A7,sybr,SYBR,Unknown,22.851152,miR-193b,DL_10,4hr,VK2,1,A,7,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
052917,55,052917_DL_10_22hr,C7,sybr,SYBR,Unknown,27.081636,miR-193b,DL_10,22hr,VK2,1,C,7,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
