Study,Well,Sample Name,Detector Name,PrimerPair,Replicate,Sample,CellLine,ExposureTime,BCM,Row,Col,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
011717,198,I6,sybr,miR-182,1,011717_VK2_DL_0_08_1hr,VK2,1hr,DL_0_08,I,6,SYBR,Unknown,24.809172,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,246,K6,sybr,miR-182,1,011717_VK2_DL_0_06_1hr,VK2,1hr,DL_0_06,K,6,SYBR,Unknown,23.664547,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,294,M6,sybr,miR-182,1,011717_VK2_L_0_08_1hr,VK2,1hr,L_0_08,M,6,SYBR,Unknown,24.541325,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,342,O6,sybr,miR-182,1,011717_VK2_L_0_06_1hr,VK2,1hr,L_0_06,O,6,SYBR,Unknown,24.540936,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,7,A7,sybr,miR-182,2,011717_VK2_LCRISP_1hr,VK2,1hr,LCRISP,A,7,SYBR,Unknown,24.63323,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,55,C7,sybr,miR-182,2,011717_VK2_LINERS_1hr,VK2,1hr,LINERS,C,7,SYBR,Unknown,24.359816,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,103,E7,sybr,miR-182,2,011717_VK2_GVAG_1hr,VK2,1hr,GVAG,E,7,SYBR,Unknown,24.258919,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,151,G7,sybr,miR-182,2,011717_VK2_MEDIA_1hr,VK2,1hr,MEDIA,G,7,SYBR,Unknown,24.364946,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,199,I7,sybr,miR-182,2,011717_VK2_DL_0_08_1hr,VK2,1hr,DL_0_08,I,7,SYBR,Unknown,24.837685,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,247,K7,sybr,miR-182,2,011717_VK2_DL_0_06_1hr,VK2,1hr,DL_0_06,K,7,SYBR,Unknown,23.644547,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,295,M7,sybr,miR-182,2,011717_VK2_L_0_08_1hr,VK2,1hr,L_0_08,M,7,SYBR,Unknown,24.85225,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,343,O7,sybr,miR-182,2,011717_VK2_L_0_06_1hr,VK2,1hr,L_0_06,O,7,SYBR,Unknown,24.757307,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,8,A8,sybr,miR-182,3,011717_VK2_LCRISP_1hr,VK2,1hr,LCRISP,A,8,SYBR,Unknown,24.909842,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,56,C8,sybr,miR-182,3,011717_VK2_LINERS_1hr,VK2,1hr,LINERS,C,8,SYBR,Unknown,24.188572,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,104,E8,sybr,miR-182,3,011717_VK2_GVAG_1hr,VK2,1hr,GVAG,E,8,SYBR,Unknown,24.556221,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,152,G8,sybr,miR-182,3,011717_VK2_MEDIA_1hr,VK2,1hr,MEDIA,G,8,SYBR,Unknown,24.499157,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,200,I8,sybr,miR-182,3,011717_VK2_DL_0_08_1hr,VK2,1hr,DL_0_08,I,8,SYBR,Unknown,24.512964,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,248,K8,sybr,miR-182,3,011717_VK2_DL_0_06_1hr,VK2,1hr,DL_0_06,K,8,SYBR,Unknown,23.681353,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,296,M8,sybr,miR-182,3,011717_VK2_L_0_08_1hr,VK2,1hr,L_0_08,M,8,SYBR,Unknown,24.701363,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,344,O8,sybr,miR-182,3,011717_VK2_L_0_06_1hr,VK2,1hr,L_0_06,O,8,SYBR,Unknown,22.560453,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,TRUE,TRUE,,,,
011717,16,A16,sybr,CCND1,1,011717_VK2_LCRISP_1hr,VK2,1hr,LCRISP,A,16,SYBR,Unknown,32.068314,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,64,C16,sybr,CCND1,1,011717_VK2_LINERS_1hr,VK2,1hr,LINERS,C,16,SYBR,Unknown,30.764875,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,112,E16,sybr,CCND1,1,011717_VK2_GVAG_1hr,VK2,1hr,GVAG,E,16,SYBR,Unknown,29.999315,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,160,G16,sybr,CCND1,1,011717_VK2_MEDIA_1hr,VK2,1hr,MEDIA,G,16,SYBR,Unknown,29.831612,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,208,I16,sybr,CCND1,1,011717_VK2_DL_0_08_1hr,VK2,1hr,DL_0_08,I,16,SYBR,Unknown,31.774788,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,256,K16,sybr,CCND1,1,011717_VK2_DL_0_06_1hr,VK2,1hr,DL_0_06,K,16,SYBR,Unknown,29.694653,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,304,M16,sybr,CCND1,1,011717_VK2_L_0_08_1hr,VK2,1hr,L_0_08,M,16,SYBR,Unknown,30.193384,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,352,O16,sybr,CCND1,1,011717_VK2_L_0_06_1hr,VK2,1hr,L_0_06,O,16,SYBR,Unknown,30.676271,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,17,A17,sybr,CCND1,2,011717_VK2_LCRISP_1hr,VK2,1hr,LCRISP,A,17,SYBR,Unknown,32.145256,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
