Study,Well,Sample Name,Row,Col,PrimerPair,Replicate,Sample,CellLine,ExposureTime,BCM,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
022017,300,M12,M,12,miR-182,1,022017_VK2_HCL_4hr,VK2,4hr,HCL,sybr,SYBR,Unknown,21.950773,76,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,348,O12,O,12,miR-182,1,022017_A2EN_CK4_INHIBITOR_SP,A2EN,SP,CK4_INHIBITOR,sybr,SYBR,Unknown,23.28622,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,13,A13,A,13,miR-182,2,022017_VK2_LJENS_0.5hr,VK2,0.5hr,LJENS,sybr,SYBR,Unknown,21.969643,76,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,61,C13,C,13,miR-182,2,022017_VK2_LJENS_1hr,VK2,1hr,LJENS,sybr,SYBR,Unknown,21.868637,76,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,109,E13,E,13,miR-182,2,022017_VK2_LJENS_11hr,VK2,11hr,LJENS,sybr,SYBR,Unknown,22.071789,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,157,G13,G,13,miR-182,2,022017_VK2_0_06_D_4hr,VK2,4hr,0_06_D,sybr,SYBR,Unknown,22.004765,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,205,I13,I,13,miR-182,2,022017_VK2_0_06_L_4hr,VK2,4hr,0_06_L,sybr,SYBR,Unknown,21.80114,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,253,K13,K,13,miR-182,2,022017_VK2_0_06_DL_4hr,VK2,4hr,0_06_DL,sybr,SYBR,Unknown,22.264484,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,301,M13,M,13,miR-182,2,022017_VK2_HCL_4hr,VK2,4hr,HCL,sybr,SYBR,Unknown,22.177002,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,349,O13,O,13,miR-182,2,022017_A2EN_CK4_INHIBITOR_SP,A2EN,SP,CK4_INHIBITOR,sybr,SYBR,Unknown,23.338276,76,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,14,A14,A,14,miR-182,3,022017_VK2_LJENS_0.5hr,VK2,0.5hr,LJENS,sybr,SYBR,Unknown,21.814457,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,62,C14,C,14,miR-182,3,022017_VK2_LJENS_1hr,VK2,1hr,LJENS,sybr,SYBR,Unknown,21.712082,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,110,E14,E,14,miR-182,3,022017_VK2_LJENS_11hr,VK2,11hr,LJENS,sybr,SYBR,Unknown,22.08058,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,158,G14,G,14,miR-182,3,022017_VK2_0_06_D_4hr,VK2,4hr,0_06_D,sybr,SYBR,Unknown,21.967415,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,206,I14,I,14,miR-182,3,022017_VK2_0_06_L_4hr,VK2,4hr,0_06_L,sybr,SYBR,Unknown,22.099792,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,254,K14,K,14,miR-182,3,022017_VK2_0_06_DL_4hr,VK2,4hr,0_06_DL,sybr,SYBR,Unknown,22.369606,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,302,M14,M,14,miR-182,3,022017_VK2_HCL_4hr,VK2,4hr,HCL,sybr,SYBR,Unknown,22.185188,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,350,O14,O,14,miR-182,3,022017_A2EN_CK4_INHIBITOR_SP,A2EN,SP,CK4_INHIBITOR,sybr,SYBR,Unknown,23.173935,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,15,A15,A,15,miR-182,1,022017_A2EN_FASC_INHIBITOR_SP,A2EN,SP,FASC_INHIBITOR,sybr,SYBR,Unknown,23.283995,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,63,C15,C,15,miR-182,1,022017_A2EN_SIS_INHIBITOR_SP,A2EN,SP,SIS_INHIBITOR,sybr,SYBR,Unknown,23.581747,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,111,E15,E,15,miR-182,1,022017_A2EN_LCRISP_SP,A2EN,SP,LCRISP,sybr,SYBR,Unknown,24.59576,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,159,G15,G,15,miR-182,1,022017_A2EN_CONTROL_SP,A2EN,SP,CONTROL,sybr,SYBR,Unknown,23.756718,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,16,A16,A,16,miR-182,2,022017_A2EN_FASC_INHIBITOR_SP,A2EN,SP,FASC_INHIBITOR,sybr,SYBR,Unknown,23.649889,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,64,C16,C,16,miR-182,2,022017_A2EN_SIS_INHIBITOR_SP,A2EN,SP,SIS_INHIBITOR,sybr,SYBR,Unknown,23.66938,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,112,E16,E,16,miR-182,2,022017_A2EN_LCRISP_SP,A2EN,SP,LCRISP,sybr,SYBR,Unknown,24.631783,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,160,G16,G,16,miR-182,2,022017_A2EN_CONTROL_SP,A2EN,SP,CONTROL,sybr,SYBR,Unknown,23.909664,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,17,A17,A,17,miR-182,3,022017_A2EN_FASC_INHIBITOR_SP,A2EN,SP,FASC_INHIBITOR,sybr,SYBR,Unknown,23.724588,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,65,C17,C,17,miR-182,3,022017_A2EN_SIS_INHIBITOR_SP,A2EN,SP,SIS_INHIBITOR,sybr,SYBR,Unknown,23.742554,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,19,A19,A,19,RNU6,1,022017_A2EN_FASC_INHIBITOR_SP,A2EN,SP,FASC_INHIBITOR,sybr,SYBR,Unknown,17.716375,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,67,C19,C,19,RNU6,1,022017_A2EN_SIS_INHIBITOR_SP,A2EN,SP,SIS_INHIBITOR,sybr,SYBR,Unknown,18.387316,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,115,E19,E,19,RNU6,1,022017_A2EN_LCRISP_SP,A2EN,SP,LCRISP,sybr,SYBR,Unknown,19.401197,75.7,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,163,G19,G,19,RNU6,1,022017_A2EN_CONTROL_SP,A2EN,SP,CONTROL,sybr,SYBR,Unknown,18.21085,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,20,A20,A,20,RNU6,2,022017_A2EN_FASC_INHIBITOR_SP,A2EN,SP,FASC_INHIBITOR,sybr,SYBR,Unknown,17.570253,75.7,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,68,C20,C,20,RNU6,2,022017_A2EN_SIS_INHIBITOR_SP,A2EN,SP,SIS_INHIBITOR,sybr,SYBR,Unknown,18.505737,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,116,E20,E,20,RNU6,2,022017_A2EN_LCRISP_SP,A2EN,SP,LCRISP,sybr,SYBR,Unknown,19.324755,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,164,G20,G,20,RNU6,2,022017_A2EN_CONTROL_SP,A2EN,SP,CONTROL,sybr,SYBR,Unknown,18.166689,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,21,A21,A,21,RNU6,3,022017_A2EN_FASC_INHIBITOR_SP,A2EN,SP,FASC_INHIBITOR,sybr,SYBR,Unknown,17.707834,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,69,C21,C,21,RNU6,3,022017_A2EN_SIS_INHIBITOR_SP,A2EN,SP,SIS_INHIBITOR,sybr,SYBR,Unknown,18.32855,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,117,E21,E,21,RNU6,3,022017_A2EN_LCRISP_SP,A2EN,SP,LCRISP,sybr,SYBR,Unknown,19.450937,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,165,G21,G,21,RNU6,3,022017_A2EN_CONTROL_SP,A2EN,SP,CONTROL,sybr,SYBR,Unknown,18.214119,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,22,A22,A,22,RNU6,1,022017_VK2_LJENS_0.5hr,VK2,0.5hr,LJENS,sybr,SYBR,Unknown,16.504663,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,70,C22,C,22,RNU6,1,022017_VK2_LJENS_1hr,VK2,1hr,LJENS,sybr,SYBR,Unknown,16.567274,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,118,E22,E,22,RNU6,1,022017_VK2_LJENS_11hr,VK2,11hr,LJENS,sybr,SYBR,Unknown,19.016146,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,166,G22,G,22,RNU6,1,022017_VK2_0_06_D_4hr,VK2,4hr,0_06_D,sybr,SYBR,Unknown,15.925472,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,214,I22,I,22,RNU6,1,022017_VK2_0_06_L_4hr,VK2,4hr,0_06_L,sybr,SYBR,Unknown,16.625803,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,262,K22,K,22,RNU6,1,022017_VK2_0_06_DL_4hr,VK2,4hr,0_06_DL,sybr,SYBR,Unknown,16.758734,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,310,M22,M,22,RNU6,1,022017_VK2_HCL_4hr,VK2,4hr,HCL,sybr,SYBR,Unknown,15.797375,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,358,O22,O,22,RNU6,1,022017_A2EN_CK4_INHIBITOR_SP,A2EN,SP,CK4_INHIBITOR,sybr,SYBR,Unknown,17.242895,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,23,A23,A,23,RNU6,2,022017_VK2_LJENS_0.5hr,VK2,0.5hr,LJENS,sybr,SYBR,Unknown,16.36816,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,71,C23,C,23,RNU6,2,022017_VK2_LJENS_1hr,VK2,1hr,LJENS,sybr,SYBR,Unknown,16.448793,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,119,E23,E,23,RNU6,2,022017_VK2_LJENS_11hr,VK2,11hr,LJENS,sybr,SYBR,Unknown,19.153028,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,167,G23,G,23,RNU6,2,022017_VK2_0_06_D_4hr,VK2,4hr,0_06_D,sybr,SYBR,Unknown,15.927354,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,215,I23,I,23,RNU6,2,022017_VK2_0_06_L_4hr,VK2,4hr,0_06_L,sybr,SYBR,Unknown,16.740818,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,263,K23,K,23,RNU6,2,022017_VK2_0_06_DL_4hr,VK2,4hr,0_06_DL,sybr,SYBR,Unknown,17.086529,76.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,311,M23,M,23,RNU6,2,022017_VK2_HCL_4hr,VK2,4hr,HCL,sybr,SYBR,Unknown,16.036932,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,359,O23,O,23,RNU6,2,022017_A2EN_CK4_INHIBITOR_SP,A2EN,SP,CK4_INHIBITOR,sybr,SYBR,Unknown,17.061378,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,24,A24,A,24,RNU6,3,022017_VK2_LJENS_0.5hr,VK2,0.5hr,LJENS,sybr,SYBR,Unknown,16.245438,74.8,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,72,C24,C,24,RNU6,3,022017_VK2_LJENS_1hr,VK2,1hr,LJENS,sybr,SYBR,Unknown,16.303038,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,120,E24,E,24,RNU6,3,022017_VK2_LJENS_11hr,VK2,11hr,LJENS,sybr,SYBR,Unknown,18.901432,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,168,G24,G,24,RNU6,3,022017_VK2_0_06_D_4hr,VK2,4hr,0_06_D,sybr,SYBR,Unknown,16.078188,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,216,I24,I,24,RNU6,3,022017_VK2_0_06_L_4hr,VK2,4hr,0_06_L,sybr,SYBR,Unknown,16.729792,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,264,K24,K,24,RNU6,3,022017_VK2_0_06_DL_4hr,VK2,4hr,0_06_DL,sybr,SYBR,Unknown,16.50526,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,312,M24,M,24,RNU6,3,022017_VK2_HCL_4hr,VK2,4hr,HCL,sybr,SYBR,Unknown,15.804299,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,360,O24,O,24,RNU6,3,022017_A2EN_CK4_INHIBITOR_SP,A2EN,SP,CK4_INHIBITOR,sybr,SYBR,Unknown,16.7177,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
