Well,Sample Name,Detector Name,Reporter,Row,Col,PrimerPair,Sample,Replicate,Study,BCM,ExposureTime,CellLine,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
193,I1,sybr,SYBR,I,1,RNU6,042417_L_10_4hr,1,042417,L_10,4hr,VK2,Unknown,20.630913,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
194,I2,sybr,SYBR,I,2,RNU6,042417_L_10_4hr,2,042417,L_10,4hr,VK2,Unknown,20.591768,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
195,I3,sybr,SYBR,I,3,RNU6,042417_L_10_4hr,3,042417,L_10,4hr,VK2,Unknown,20.677628,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
49,C1,sybr,SYBR,C,1,RNU6,042417_L_12_4hr,1,042417,L_12,4hr,VK2,Unknown,20.65144,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
50,C2,sybr,SYBR,C,2,RNU6,042417_L_12_4hr,2,042417,L_12,4hr,VK2,Unknown,21.177618,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
51,C3,sybr,SYBR,C,3,RNU6,042417_L_12_4hr,3,042417,L_12,4hr,VK2,Unknown,20.645332,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
337,O1,sybr,SYBR,O,1,RNU6,042417_L_8_4hr,1,042417,L_8,4hr,VK2,Unknown,18.889606,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
338,O2,sybr,SYBR,O,2,RNU6,042417_L_8_4hr,2,042417,L_8,4hr,VK2,Unknown,18.769547,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
339,O3,sybr,SYBR,O,3,RNU6,042417_L_8_4hr,3,042417,L_8,4hr,VK2,Unknown,19.584696,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
197,I5,sybr,SYBR,I,5,RNU6,042417_MEDIA_4hr,1,042417,MEDIA,4hr,VK2,Unknown,19.477709,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
